name,category,mechanism,role,covers,buyer_fee,seller_fee,alerts,api_access,trust_model,nyc_relevance,verdict,evidence,source
Keepa,retail,price-history,tracker,"Amazon price, Buy Box, sales rank history across 11+ marketplaces",free tier; Pro ~EUR19-29/mo,n/a,yes (price drop),paid API from EUR49/mo (no free tier),n/a,any,use,search-snippet,https://keepa.com/api-docs/
CamelCamelCamel,retail,price-history,tracker,Amazon price history + email drop alerts,free (affiliate funded),n/a,yes (email),none official,n/a,any,use,search-snippet,https://camelcamelcamel.com/
Slickdeals,retail,price-history,community aggregator,"Cross-retailer deals; votes surface threads, Deal Editors check price history before Frontpage",free,n/a,yes (keyword deal alerts),RSS feeds,human vetting,any,use,search-snippet,https://slickdeals.net/corp/how-slickdeals-works/
PCPartPicker,retail,price-history,tracker,PC component price history across retailers,free,n/a,yes,none official,n/a,any,use for PC parts,search-snippet,https://pcpartpicker.com/
Honey Droplist,retail,price-history,tracker,Multi-retailer price watch,free,n/a,yes,none,n/a,any,watch,search-snippet,https://www.joinhoney.com/
Amazon Resale (Warehouse),retail,open-box,venue,Amazon returns and open-box,n/a,n/a,no,via Keepa (tracks used/warehouse price),Amazon returns,any,use,background,https://www.amazon.com/resale
Woot,retail,open-box,venue,Amazon-owned daily deals and refurb,n/a,n/a,app alerts,none official,limited returns,any,watch,background,https://www.woot.com/
Best Buy Open-Box,retail,open-box,venue,Open-box electronics; typical 10-30% off new,n/a,n/a,no,none official,store returns + warranty,NYC stores allow in-person inspection,use,search-snippet,https://www.bestbuy.com/site/electronics/open-box/
Back Market,retail,refurb,venue,Refurbished electronics; refurb typically 20-50% off new,n/a,n/a,yes,none official,1-yr warranty,any,use,background,https://www.backmarket.com/
eBay Refurbished,retail,refurb,venue,Certified refurb with warranty,n/a,n/a,saved search alerts,eBay Browse API,eBay Money Back Guarantee,any,use,background,https://www.ebay.com/b/eBay-Refurbished/bn_7040708936
Newegg Open Box,retail,open-box,venue,"Open-box computers, some 50%+ off",n/a,n/a,no,none official,limited returns,any,watch,search-snippet,https://www.newegg.com/
eBay sold listings,p2p,comps,reference price source,What buyers actually paid; the reference for every P2P deal,n/a,n/a,no,eBay APIs (sold data restricted; Terapeak in Seller Hub),n/a,any,use (as reference),search-snippet,https://www.ebay.com/
Facebook Marketplace saved searches,p2p,local,venue alert,Native FB alerts; reported 2-4 hour lag,free,n/a,yes (slow),no API; ToS bans automated collection logged in or out (Jan 2025),none (cash in person); Facebook Pay protection on shipped only,high,use as baseline,fetched (vendor blog) + search-snippet,https://carsnipe.com/blog/facebook-marketplace-monitoring-tools
Craigslist saved searches,p2p,local,venue alert,Native email alerts per search,free,n/a,yes (email),no API; aggressive anti-scrape history,none,high,use,background,https://newyork.craigslist.org/
SearchTempest,p2p,local,meta-search,"Craigslist + FB Marketplace + eBay by driving distance",free (ads),n/a,limited,none,none,medium,use for wide-radius searches,search-snippet,https://www.searchtempest.com/
AllCraigslistSearch,p2p,local,meta-search,"Craigslist all cities + FB Marketplace, OfferUp, eBay",free,n/a,no,none,none,low,skip (SearchTempest covers it),search-snippet,https://allcraigslistsearch.com/
Claz,p2p,local,meta-search,"Craigslist, OfferUp, FB Marketplace listings",free,n/a,unknown,none,none,low,skip,search-snippet,https://claz.org/
Swoopa,p2p,local,alert monitor,"FB Marketplace, Craigslist, OfferUp, eBay; cloud-side monitoring; advertised 5-9 min alerts",$47-352/mo,n/a,yes (push),none,none,medium,skip unless flipping (priced for resellers; filter accuracy complaints),fetched (competitor blog),https://getswoopa.com/
Flipify,p2p,local,alert monitor,"FB Marketplace, Craigslist, eBay, OfferUp, Vinted, Kijiji; 1-min alerts on premium",$5-10 per watchlist/mo,n/a,yes (push),none,none,medium,try first (cheapest fast alerts; newer and unproven),fetched (competitor blog),https://www.flipifyapp.com/
Marketplace Monitor,p2p,local,alert monitor,"FB, Gumtree, OfferUp, eBay, Craigslist, Depop, Vinted; 2-5 min alerts",$24.99-169.99/mo,n/a,yes,none,none,medium,skip (price),fetched (competitor blog),https://carsnipe.com/blog/facebook-marketplace-monitoring-tools
Scout (iOS/macOS),p2p,local,alert monitor,FB Marketplace alerts; hourly to instant,$2.99-7.99/mo,n/a,yes,none,none,medium,try if on Apple devices,fetched (competitor blog),https://carsnipe.com/blog/facebook-marketplace-monitoring-tools
CarSnipe,p2p,local,alert monitor,FB Marketplace cars; browser extension using your FB login; 3-15 min,$9.99-24.99/mo,n/a,yes,none,none,low,skip unless buying a car,fetched (own blog),https://carsnipe.com/
Spottable,p2p,local,browser extension,"Search/message across FB, OfferUp, Nextdoor, Craigslist, Trash Nothing",unknown,n/a,unknown,none,none,medium,watch,search-snippet,https://chromewebstore.google.com/detail/spottable-facebook-market/dbgjphnanjmmfjacahfhliahblokmpgh
OfferUp,p2p,local,venue,Local P2P goods,free local; fee on shipped,varies,saved search alerts,none,in-app ratings,medium,use,background,https://offerup.com/
Nextdoor For Sale & Free,p2p,local,venue,Neighborhood listings; verified addresses,free,free,limited,none,address-verified neighbors,high,use,background,https://nextdoor.com/
Buy Nothing / Trash Nothing,p2p,free,venue,Free items in your neighborhood,free,free,yes (Trash Nothing email),none,community,high,use,background,https://trashnothing.com/
EstateSales.net,p2p,auction/estate,aggregator,Estate sale listings by zip with photos,free,n/a,yes (email by area),none,in person,medium (better in suburbs),watch,background,https://www.estatesales.net/
HiBid / GovDeals / ShopGoodwill,p2p,auction,venue,Local and government surplus auctions; watch buyer premium 10-18%,buyer premium varies,n/a,yes,none,as-is,low-medium,watch,background,https://hibid.com/
Theatr,tickets,perishable,venue,"NYC theatre resale at or below price paid, proof of purchase required; price-point notifications; payment held until 30 min after curtain; 40% of listings sell within 10 min",UNKNOWN - an App Store reviewer reports 'very high fees on all ticket purchases'; check at checkout,$0,yes (price-point push),none,escrow + proof of purchase; 4.9 stars / 5K ratings,high,use,fetched,https://www.theatr-app.com/
CrowdVolt,tickets,perishable,venue,"EDM/rave bid-ask exchange (StockX model), public order book; bid charged only if filled; NYC first, expansion to Miami/Chicago/CA announced 2024",UNKNOWN - help center answers not retrievable,UNKNOWN,bids act as standing alerts,none,platform intermediates payment and transfer,high,use,fetched (TechCrunch + help center index),https://www.crowdvolt.com/
TodayTix,tickets,perishable,venue,"Discount theatre tickets, digital rush ($30-50) and lotteries",per-ticket fee,n/a,yes (rush unlock alerts),none,primary seller,high,use,search-snippet,https://www.todaytix.com/
TKTS (TDF),tickets,perishable,venue,"Same-day 20-50% off face; Times Square, Lincoln Center",small per-ticket fee,n/a,live board in app,none,primary,high,use,search-snippet,https://www.tdf.org/tkts/
TDF membership,tickets,perishable,venue,"$11-62.50 tickets; $42/yr; eligibility limited (students, teachers, union, under 30, retirees, arts workers, more)",low handling fee,n/a,email offers,none,primary,high if eligible,use if eligible,search-snippet,https://www.tdf.org/
Broadway lotteries + box-office rush,tickets,perishable,venue,"Lottery $30-60, low single-digit win odds on hits; in-person rush $35-50",none or small,n/a,no (daily entry),none,primary,high,use,search-snippet,https://rush.telecharge.com/
Broadway Scorecard / BroadwayWorld forum,tickets,perishable,info aggregator,Rush/lottery policies per show; forum intel on which shows discount,free,n/a,no,none,n/a,high,use as reference,search-snippet,https://broadwayscorecard.com/guides/cheap-broadway-tickets
TickPick,tickets,perishable,venue,General resale with all-in prices (no added buyer fee),0% added,15%,yes (price alerts),none public,buyer guarantee,high,use as the all-in reference price,search-snippet,https://www.tickpick.com/
SeatGeek,tickets,perishable,aggregator + venue,Resale with Deal Score (expected fair price vs list price given seat quality + event history),measured avg ~37% total fee load,10%,yes,public API (events/listings metadata),buyer guarantee,high,use for Deal Score; buy elsewhere if cheaper all-in,fetched + search-snippet,https://support.seatgeek.com/hc/en-us/articles/360007200954-What-is-Deal-Score
StubHub,tickets,perishable,venue,Largest resale inventory; all-in display since FTC junk-fee rule (May 2025); $10M FTC settlement Apr 2026 over hidden fees,measured avg ~28%,~15%,yes,none public,FanProtect,high,use for inventory; compare all-in,search-snippet,https://www.stubhub.com/
Vivid Seats,tickets,perishable,venue,General resale,20-40% (measured avg ~31%),10%,yes,none,guarantee,medium,skip unless cheapest all-in,search-snippet,https://www.vividseats.com/
Gametime,tickets,perishable,venue,Last-minute mobile tickets; sells until 90 min after start; publishes example NBA median $127 at T-48h vs $40 after tipoff,fees in price,n/a,yes,none,guarantee,high,use for day-of sports/concerts,search-snippet (vendor claim),https://gametime.co/blog/the-ins-and-outs-of-pricing-on-gametime/
CashorTrade,tickets,perishable,venue,Face-value-only fan resale; strong in jam/festival scenes,10% + 3% card (10% waived for Gold),$0,yes,none,escrow-style protection,medium,use,search-snippet,https://help.cashortrade.org/hc/en-us/articles/12918261373069-Understanding-Fees-on-CashorTrade
Tixel,tickets,perishable,venue,"Fan resale, US launch June 2025; price capped at +20% (up to +30% by organizer)",buyer fee (amount unverified),seller fee (amount unverified),waitlist alerts,none,ticket verification,medium,watch,search-snippet,https://tixel.com/how-it-works
DICE Waitlist,tickets,perishable,venue,Official face-value returns for DICE-ticketed shows; many Brooklyn venues,face value + original fees,n/a,yes (waitlist auto-offer),none,primary,high,use,search-snippet,https://dice.fm/
Resident Advisor resale,tickets,perishable,venue,Official face-value resale queue for RA-ticketed events once sold out,face value + fee,n/a,yes (queue),none,primary,high for club nights,use,background,https://ra.co/
Beni,fashion,comps,aggregator,Extension/app searching 50+ resale partners (~80% of online resale listings claimed); alerts,free (affiliate),n/a,yes,none,defers to marketplace,any,use,search-snippet,https://www.retailtouchpoints.com/news/resale-aggregator-platform-beni-debuts-ios-app-adds-poshmark-thredup-and-more/140668/
Phia,fashion,comps,aggregator,Secondhand vs new price comparison while you browse,free,n/a,unknown,none,defers to marketplace,any,watch,search-snippet,https://phia.com/
Gem,fashion,comps,aggregator,Vintage/secondhand search engine across many sites,free,n/a,yes (saved searches),none,defers to marketplace,any,use,background,https://gem.app/
StockX / GOAT,fashion,bid-ask,venue,"Sneakers/streetwear exchange with public sale history (the model CrowdVolt copies)",~3-10% + shipping,~9-10%+,yes (bids),none public,authentication,any,use for price discovery,background,https://stockx.com/
Reverb / SidelineSwap / REI Used,gear,comps,venue,"Music gear, sports gear, outdoor gear; Reverb has a public Price Guide",varies,varies,yes,Reverb API,platform protection,any,use by category,background,https://reverb.com/price-guide
Too Good To Go,food,perishable,venue,"End-of-day surprise bags, typically ~1/3 of retail",in price,n/a,yes (favorites),none,in-app,high,use,background,https://www.toogoodtogo.com/
Going / HotelTonight,travel,perishable,venue,Flight mistake-fare alerts; same-day hotel inventory,Going: subscription,n/a,yes,none,n/a,any,watch,background,https://www.going.com/
